"epoch","training loss","validation loss"
"1","0.0549549","0"
"2","0.0470675","0"
"3","0.0431387","0"
"4","0.0393069","0"
"5","0.0372688","0"
"6","0.0361405","0"
"7","0.035427","0"
"8","0.0350281","0"
"9","0.0347597","0"
"10","0.0345417","0"
"11","0.0343519","0"
"12","0.0341777","0"
"13","0.0340453","0"
"14","0.033917","0"
"15","0.0337958","0"
"16","0.0336845","0"
"17","0.0336179","0"
"18","0.0335342","0"
"19","0.0334528","0"
"20","0.0333527","0"
"21","0.0333091","0"
"22","0.0332456","0"
"23","0.0331953","0"
"24","0.033148","0"
"25","0.0331148","0"
"26","0.0330837","0"
"27","0.0330391","0"
"28","0.0329887","0"
"29","0.0329497","0"
"30","0.0329217","0"
"31","0.0328861","0"
"32","0.032862","0"
"33","0.0328242","0"
"34","0.0328097","0"
"35","0.0328025","0"
"36","0.0327643","0"
"37","0.0327396","0"
"38","0.032716","0"
"39","0.0327033","0"
"40","0.0326773","0"
"41","0.0326663","0"
"42","0.0326454","0"
"43","0.032629","0"
"44","0.03262","0"
"45","0.0325892","0"
"46","0.0325709","0"
"47","0.0325681","0"
"48","0.0325493","0"
"49","0.0325319","0"
"50","0.0325198","0"
"51","0.0325202","0"
"52","0.0324957","0"
"53","0.0324878","0"
"54","0.0324756","0"
"55","0.0324607","0"
"56","0.0324423","0"
"57","0.0324448","0"
"58","0.0324472","0"
"59","0.032424","0"
"60","0.0324109","0"
"61","0.0324099","0"
"62","0.0323979","0"
"63","0.0323986","0"
"64","0.0323868","0"
"65","0.0323828","0"
"66","0.0323687","0"
"67","0.0323507","0"
"68","0.032348","0"
"69","0.03235","0"
"70","0.0323368","0"
"71","0.0323293","0"
"72","0.0323238","0"
"73","0.0323162","0"
"74","0.0323154","0"
"75","0.0323007","0"
"76","0.0322785","0"
"77","0.0322867","0"
"78","0.0322797","0"
"79","0.0322885","0"
"80","0.0322706","0"
"81","0.0322507","0"
"82","0.0322403","0"
"83","0.0322397","0"
"84","0.0322364","0"
"85","0.0322149","0"
"86","0.0322156","0"
"87","0.0322086","0"
"88","0.0322037","0"
"89","0.0322083","0"
"90","0.0321967","0"
"91","0.0321952","0"
"92","0.0321886","0"
"93","0.0321738","0"
"94","0.0321767","0"
"95","0.0321678","0"
"96","0.0321687","0"
"97","0.0321675","0"
"98","0.0321549","0"
"99","0.0321554","0"
"100","0.0321554","0"
"101","0.032144","0"
"102","0.032135","0"
"103","0.0321427","0"
"104","0.0321473","0"
"105","0.0321201","0"
"106","0.0321203","0"
"107","0.0321294","0"
"108","0.0321283","0"
"109","0.0321171","0"
"110","0.0321089","0"
"111","0.0321134","0"
"112","0.0321186","0"
"113","0.0321126","0"
"114","0.0320943","0"
"115","0.0321042","0"
"116","0.0320941","0"
"117","0.0320959","0"
"118","0.0320812","0"
"119","0.0320921","0"
"120","0.0320916","0"
"121","0.0320986","0"
"122","0.0320803","0"
"123","0.0320752","0"
"124","0.0320848","0"
"125","0.0320707","0"
"126","0.0320757","0"
"127","0.0320644","0"
"128","0.0320703","0"
"129","0.0320743","0"
"130","0.0320616","0"
"131","0.0320546","0"
"132","0.0320537","0"
"133","0.0320648","0"
"134","0.0320508","0"
"135","0.0320407","0"
"136","0.0320538","0"
"137","0.0320462","0"
"138","0.0320517","0"
"139","0.0320441","0"
"140","0.0320382","0"
"141","0.0320342","0"
"142","0.0320334","0"
"143","0.0320376","0"
"144","0.0320397","0"
"145","0.0320211","0"
"146","0.0320215","0"
"147","0.0320234","0"
"148","0.0320222","0"
"149","0.0320188","0"
"150","0.0320122","0"
"151","0.0320147","0"
"152","0.0319983","0"
"153","0.0319983","0"
"154","0.0319994","0"
"155","0.032005","0"
"156","0.032","0"
"157","0.031998","0"
"158","0.0319948","0"
"159","0.0319942","0"
"160","0.031992","0"
"161","0.0319807","0"
"162","0.0319765","0"
"163","0.0319819","0"
"164","0.0319854","0"
"165","0.0319966","0"
"166","0.0319752","0"
"167","0.0319694","0"
"168","0.0319657","0"
"169","0.0319731","0"
"170","0.0319671","0"
"171","0.0319514","0"
"172","0.0319609","0"
"173","0.0319501","0"
"174","0.0319511","0"
"175","0.0319575","0"
"176","0.0319469","0"
"177","0.0319521","0"
"178","0.031946","0"
"179","0.0319359","0"
"180","0.0319337","0"
"181","0.0319415","0"
"182","0.0319449","0"
"183","0.031934","0"
"184","0.0319273","0"
"185","0.031935","0"
"186","0.0319285","0"
"187","0.0319252","0"
"188","0.0319224","0"
"189","0.0319355","0"
"190","0.0319317","0"
"191","0.0319079","0"
"192","0.0319152","0"
"193","0.0319191","0"
"194","0.031921","0"
"195","0.0319058","0"
"196","0.0319063","0"
"197","0.0319079","0"
"198","0.0319163","0"
"199","0.0318999","0"
"200","0.0319014","0"
"201","0.0319047","0"
"202","0.0318949","0"
"203","0.0319066","0"
"204","0.0318861","0"
"205","0.0318937","0"
"206","0.0319091","0"
"207","0.0319005","0"
"208","0.0318912","0"
"209","0.0318889","0"
"210","0.0318938","0"
"211","0.0318911","0"
"212","0.0318887","0"
"213","0.0318812","0"
"214","0.0318944","0"
"215","0.0318917","0"
"216","0.0318847","0"
"217","0.0318725","0"
"218","0.031882","0"
"219","0.0318893","0"
"220","0.0318758","0"
"221","0.0318709","0"
"222","0.0318861","0"
"223","0.0318779","0"
"224","0.0318797","0"
"225","0.0318736","0"
"226","0.0318758","0"
"227","0.0318698","0"
"228","0.0318716","0"
"229","0.0318839","0"
"230","0.0318794","0"
"231","0.0318646","0"
"232","0.0318679","0"
"233","0.0318676","0"
"234","0.031866","0"
"235","0.0318628","0"
"236","0.0318745","0"
"237","0.0318637","0"
"238","0.0318522","0"
"239","0.0318594","0"
"240","0.0318534","0"
"241","0.0318691","0"
"242","0.031856","0"
"243","0.0318604","0"
"244","0.0318561","0"
"245","0.0318635","0"
"246","0.0318597","0"
"247","0.0318485","0"
"248","0.0318522","0"
"249","0.0318515","0"
"250","0.0318622","0"
"251","0.0318693","0"
"252","0.0318507","0"
"253","0.0318478","0"
"254","0.0318438","0"
"255","0.0318515","0"
"256","0.0318451","0"
"257","0.0318362","0"
"258","0.0318472","0"
"259","0.0318422","0"
"260","0.0318431","0"
"261","0.0318503","0"
"262","0.0318344","0"
"263","0.0318447","0"
"264","0.0318327","0"
"265","0.0318303","0"
"266","0.0318321","0"
"267","0.0318376","0"
"268","0.0318428","0"
"269","0.0318308","0"
"270","0.0318306","0"
"271","0.0318299","0"
"272","0.0318325","0"
"273","0.0318174","0"
"274","0.0318404","0"
"275","0.0318347","0"
"276","0.0318305","0"
"277","0.0318083","0"
"278","0.0318311","0"
"279","0.0318319","0"
