"epoch","training loss","validation loss"
"1","0.0758771","0"
"2","0.0757738","0"
"3","0.0757468","0"
"4","0.0757458","0"
"5","0.0757124","0"
"6","0.0757279","0"
"7","0.0757123","0"
"8","0.0757013","0"
"9","0.0757257","0"
"10","0.0757201","0"
"11","0.0757365","0"
"12","0.0757395","0"
"13","0.0757297","0"
"14","0.075725","0"
"15","0.0757334","0"
"16","0.0756997","0"
"17","0.0757178","0"
"18","0.0757313","0"
"19","0.0757279","0"
"20","0.0757169","0"
"21","0.0757246","0"
"22","0.0757067","0"
"23","0.0757027","0"
"24","0.075721","0"
"25","0.0757282","0"
"26","0.0757071","0"
"27","0.0757161","0"
"28","0.0756998","0"
"29","0.0757081","0"
"30","0.0757042","0"
"31","0.0757318","0"
"32","0.0757228","0"
"33","0.0757277","0"
"34","0.0757028","0"
"35","0.0757041","0"
"36","0.0757163","0"
"37","0.0757221","0"
"38","0.075716","0"
"39","0.0757278","0"
"40","0.0757243","0"
"41","0.0757121","0"
"42","0.0757138","0"
"43","0.0757128","0"
"44","0.0757282","0"
"45","0.0756971","0"
"46","0.0757159","0"
"47","0.0757049","0"
"48","0.0757061","0"
"49","0.0756881","0"
"50","0.0757109","0"
"51","0.0757106","0"
"52","0.0757045","0"
"53","0.0756993","0"
"54","0.0756887","0"
"55","0.0757023","0"
"56","0.075687","0"
"57","0.0757042","0"
"58","0.0756961","0"
"59","0.0757146","0"
"60","0.0757057","0"
"61","0.075699","0"
"62","0.0757153","0"
"63","0.0757003","0"
"64","0.0756911","0"
"65","0.0757023","0"
"66","0.0756821","0"
"67","0.075712","0"
"68","0.0757018","0"
"69","0.0757001","0"
"70","0.075701","0"
"71","0.0756791","0"
"72","0.075686","0"
"73","0.0757026","0"
"74","0.0756939","0"
"75","0.0756995","0"
"76","0.0757028","0"
"77","0.0757015","0"
"78","0.075709","0"
"79","0.075695","0"
"80","0.0756957","0"
"81","0.0756929","0"
"82","0.075705","0"
"83","0.0756811","0"
"84","0.0756882","0"
"85","0.0756819","0"
"86","0.0756816","0"
"87","0.0757019","0"
"88","0.0757085","0"
"89","0.0757066","0"
"90","0.0756888","0"
"91","0.0756829","0"
"92","0.0756949","0"
"93","0.0756934","0"
"94","0.0757096","0"
"95","0.0756817","0"
"96","0.0756956","0"
"97","0.0756772","0"
"98","0.0756887","0"
"99","0.0756943","0"
"100","0.075701","0"
"101","0.0756903","0"
"102","0.0756905","0"
"103","0.0756777","0"
"104","0.0756879","0"
"105","0.0756893","0"
"106","0.0756986","0"
"107","0.0756854","0"
"108","0.0757003","0"
"109","0.0756918","0"
"110","0.0756856","0"
"111","0.0756821","0"
"112","0.0757069","0"
"113","0.0756925","0"
"114","0.0757006","0"
"115","0.0756716","0"
"116","0.0756795","0"
"117","0.0757016","0"
"118","0.0756951","0"
"119","0.0756963","0"
"120","0.0756966","0"
"121","0.0756657","0"
"122","0.0756956","0"
"123","0.0756807","0"
"124","0.0756967","0"
"125","0.0757042","0"
"126","0.0756791","0"
"127","0.0757147","0"
"128","0.0756824","0"
"129","0.0757054","0"
"130","0.075674","0"
"131","0.0756625","0"
"132","0.0756796","0"
"133","0.0756861","0"
"134","0.0756785","0"
"135","0.07569","0"
"136","0.0756984","0"
"137","0.0756808","0"
"138","0.0756853","0"
"139","0.0756766","0"
"140","0.0756685","0"
"141","0.0756836","0"
"142","0.0756942","0"
"143","0.0756914","0"
"144","0.0756798","0"
"145","0.0756905","0"
"146","0.0756619","0"
"147","0.0756702","0"
"148","0.0757078","0"
"149","0.075691","0"
"150","0.0756651","0"
"151","0.0756712","0"
"152","0.0756738","0"
"153","0.0756708","0"
"154","0.0756909","0"
"155","0.0757009","0"
"156","0.0756971","0"
"157","0.0756818","0"
"158","0.0756746","0"
"159","0.0756841","0"
"160","0.075673","0"
"161","0.0756996","0"
"162","0.0757004","0"
"163","0.0757049","0"
"164","0.0756799","0"
"165","0.0756817","0"
"166","0.0756859","0"
"167","0.0756944","0"
"168","0.0756888","0"
"169","0.0756743","0"
"170","0.0756802","0"
"171","0.0756795","0"
"172","0.0756748","0"
"173","0.0756817","0"
"174","0.0756703","0"
"175","0.0756852","0"
"176","0.0756738","0"
"177","0.0756685","0"
"178","0.0756806","0"
"179","0.0756734","0"
"180","0.0756588","0"
"181","0.0756762","0"
"182","0.0756836","0"
"183","0.075679","0"
"184","0.0756781","0"
"185","0.0756925","0"
"186","0.0756751","0"
"187","0.075672","0"
"188","0.0756753","0"
"189","0.0756668","0"
"190","0.0756813","0"
"191","0.075675","0"
"192","0.0756861","0"
"193","0.075676","0"
"194","0.0756643","0"
"195","0.0756518","0"
"196","0.0756733","0"
"197","0.0756809","0"
"198","0.0756727","0"
"199","0.0756784","0"
"200","0.0756761","0"
"201","0.0756851","0"
"202","0.0756789","0"
"203","0.0756806","0"
"204","0.0756714","0"
"205","0.0756807","0"
"206","0.0756577","0"
"207","0.0756687","0"
"208","0.0756588","0"
"209","0.0756637","0"
"210","0.0756682","0"
"211","0.0756864","0"
"212","0.0756889","0"
"213","0.0756801","0"
"214","0.0756611","0"
"215","0.0756685","0"
"216","0.0756686","0"
"217","0.0756871","0"
"218","0.0756817","0"
"219","0.0756654","0"
"220","0.0756616","0"
"221","0.0756723","0"
"222","0.0756674","0"
"223","0.0756733","0"
"224","0.0756772","0"
"225","0.0756659","0"
"226","0.0756678","0"
"227","0.0756585","0"
"228","0.0756657","0"
"229","0.0756781","0"
"230","0.0756692","0"
"231","0.0756833","0"
"232","0.0756732","0"
"233","0.0756631","0"
"234","0.0756645","0"
"235","0.0756854","0"
"236","0.0756722","0"
"237","0.0756794","0"
"238","0.0756694","0"
"239","0.0756614","0"
"240","0.0756646","0"
"241","0.0756807","0"
"242","0.0756672","0"
"243","0.0756894","0"
"244","0.0756678","0"
"245","0.0756492","0"
"246","0.0756622","0"
"247","0.075686","0"
"248","0.0756743","0"
"249","0.0756785","0"
"250","0.0756838","0"
"251","0.07568","0"
"252","0.0756643","0"
"253","0.0756704","0"
"254","0.0756562","0"
"255","0.0756408","0"
"256","0.075678","0"
"257","0.0756518","0"
"258","0.0756845","0"
"259","0.0756728","0"
"260","0.0756691","0"
"261","0.0756635","0"
"262","0.075679","0"
"263","0.0756401","0"
"264","0.0756751","0"
"265","0.0756678","0"
"266","0.0756698","0"
"267","0.0756645","0"
