"epoch","training loss","validation loss"
"1","0.0560531","0"
"2","0.04487","0"
"3","0.0400899","0"
"4","0.0373105","0"
"5","0.0357868","0"
"6","0.0350304","0"
"7","0.0344928","0"
"8","0.0341069","0"
"9","0.0337958","0"
"10","0.0335271","0"
"11","0.0332876","0"
"12","0.0330713","0"
"13","0.0329156","0"
"14","0.0327461","0"
"15","0.0326127","0"
"16","0.0325074","0"
"17","0.032445","0"
"18","0.0323254","0"
"19","0.0319858","0"
"20","0.03176","0"
"21","0.0316782","0"
"22","0.0316041","0"
"23","0.0315475","0"
"24","0.0314919","0"
"25","0.0314577","0"
"26","0.0314324","0"
"27","0.0313849","0"
"28","0.0313396","0"
"29","0.0313024","0"
"30","0.0312817","0"
"31","0.0312529","0"
"32","0.031236","0"
"33","0.0311991","0"
"34","0.0311879","0"
"35","0.0311792","0"
"36","0.03115","0"
"37","0.0311286","0"
"38","0.0311088","0"
"39","0.0311019","0"
"40","0.0310776","0"
"41","0.0310606","0"
"42","0.0310512","0"
"43","0.0310378","0"
"44","0.0310352","0"
"45","0.0310102","0"
"46","0.0309992","0"
"47","0.0309895","0"
"48","0.0309756","0"
"49","0.0309662","0"
"50","0.0309558","0"
"51","0.0309547","0"
"52","0.030937","0"
"53","0.0309257","0"
"54","0.0309194","0"
"55","0.0309009","0"
"56","0.0308907","0"
"57","0.0308706","0"
"58","0.0308672","0"
"59","0.0308478","0"
"60","0.0308322","0"
"61","0.0308365","0"
"62","0.0308202","0"
"63","0.0308237","0"
"64","0.0308114","0"
"65","0.0308107","0"
"66","0.0307953","0"
"67","0.0307803","0"
"68","0.0307823","0"
"69","0.0307765","0"
"70","0.0307693","0"
"71","0.0307708","0"
"72","0.030759","0"
"73","0.0307591","0"
"74","0.0307593","0"
"75","0.0307421","0"
"76","0.0307216","0"
"77","0.0307326","0"
"78","0.0307258","0"
"79","0.0307361","0"
"80","0.0307245","0"
"81","0.0307084","0"
"82","0.0306969","0"
"83","0.0306982","0"
"84","0.0306992","0"
"85","0.0306788","0"
"86","0.0306801","0"
"87","0.0306781","0"
"88","0.0306736","0"
"89","0.0306823","0"
"90","0.0306705","0"
"91","0.0306675","0"
"92","0.0306594","0"
"93","0.0306444","0"
"94","0.0306578","0"
"95","0.0306481","0"
"96","0.0306457","0"
"97","0.0306462","0"
"98","0.0306365","0"
"99","0.0306391","0"
"100","0.0306359","0"
"101","0.0306279","0"
"102","0.0306193","0"
"103","0.0306278","0"
"104","0.0306276","0"
"105","0.0306089","0"
"106","0.0306057","0"
"107","0.0306133","0"
"108","0.0306106","0"
"109","0.0306002","0"
"110","0.0305874","0"
"111","0.0305853","0"
"112","0.0305844","0"
"113","0.0305829","0"
"114","0.0305626","0"
"115","0.0305642","0"
"116","0.0305596","0"
"117","0.0305632","0"
"118","0.0305535","0"
"119","0.0305607","0"
"120","0.0305582","0"
"121","0.0305652","0"
"122","0.0305455","0"
"123","0.0305449","0"
"124","0.0305543","0"
"125","0.0305443","0"
"126","0.0305487","0"
"127","0.0305377","0"
"128","0.0305445","0"
"129","0.0305459","0"
"130","0.0305375","0"
"131","0.0305306","0"
"132","0.0305312","0"
"133","0.0305404","0"
"134","0.0305293","0"
"135","0.0305234","0"
"136","0.0305296","0"
"137","0.0305227","0"
"138","0.0305268","0"
"139","0.0305188","0"
"140","0.030517","0"
"141","0.0305138","0"
"142","0.0305141","0"
"143","0.0305217","0"
"144","0.03052","0"
"145","0.0305047","0"
"146","0.0305082","0"
"147","0.0305125","0"
"148","0.0305106","0"
"149","0.0305106","0"
"150","0.0305048","0"
"151","0.0305036","0"
"152","0.0304933","0"
"153","0.0304956","0"
"154","0.0304915","0"
"155","0.0304957","0"
"156","0.0304922","0"
"157","0.0304895","0"
"158","0.0304838","0"
"159","0.0304842","0"
"160","0.0304867","0"
"161","0.0304721","0"
"162","0.0304673","0"
"163","0.0304761","0"
"164","0.0304784","0"
"165","0.0304924","0"
"166","0.030471","0"
"167","0.0304597","0"
"168","0.0304564","0"
"169","0.0304649","0"
"170","0.0304594","0"
"171","0.030444","0"
"172","0.0304546","0"
"173","0.0304466","0"
"174","0.0304471","0"
"175","0.0304575","0"
"176","0.0304455","0"
"177","0.0304478","0"
"178","0.0304441","0"
"179","0.0304342","0"
"180","0.0304355","0"
"181","0.0304406","0"
"182","0.0304369","0"
"183","0.0304336","0"
"184","0.0304318","0"
"185","0.0304378","0"
"186","0.0304261","0"
"187","0.0304264","0"
"188","0.0304219","0"
"189","0.0304358","0"
"190","0.0304322","0"
"191","0.0304138","0"
"192","0.0304223","0"
"193","0.0304246","0"
"194","0.0304272","0"
"195","0.0304119","0"
"196","0.0304182","0"
"197","0.0304211","0"
"198","0.0304252","0"
"199","0.0304133","0"
"200","0.0304079","0"
"201","0.0304113","0"
"202","0.0304035","0"
"203","0.0304146","0"
"204","0.0304003","0"
"205","0.0304057","0"
"206","0.0304151","0"
"207","0.0304111","0"
"208","0.0303997","0"
"209","0.0304033","0"
"210","0.0304058","0"
"211","0.030405","0"
"212","0.0304063","0"
"213","0.0303955","0"
"214","0.0304127","0"
"215","0.0304054","0"
"216","0.0304049","0"
"217","0.0303916","0"
"218","0.0304015","0"
"219","0.0304044","0"
"220","0.0303966","0"
"221","0.0303933","0"
"222","0.0304036","0"
"223","0.0303959","0"
"224","0.0303982","0"
"225","0.0303931","0"
"226","0.0303983","0"
"227","0.0303921","0"
"228","0.0303934","0"
"229","0.030407","0"
"230","0.0304012","0"
"231","0.0303857","0"
"232","0.0303983","0"
"233","0.0303961","0"
"234","0.0303903","0"
"235","0.0303952","0"
"236","0.0304034","0"
"237","0.0303878","0"
"238","0.0303812","0"
"239","0.0303904","0"
"240","0.0303802","0"
"241","0.0303979","0"
"242","0.0303876","0"
"243","0.0303905","0"
"244","0.0303885","0"
"245","0.0303958","0"
"246","0.0303916","0"
"247","0.0303794","0"
"248","0.0303844","0"
"249","0.0303868","0"
"250","0.0303974","0"
"251","0.0304073","0"
"252","0.030387","0"
"253","0.0303799","0"
"254","0.0303799","0"
"255","0.0303863","0"
"256","0.0303826","0"
"257","0.0303689","0"
"258","0.030384","0"
"259","0.0303779","0"
"260","0.0303796","0"
"261","0.0303905","0"
"262","0.0303744","0"
"263","0.0303782","0"
"264","0.0303711","0"
"265","0.0303694","0"
"266","0.0303739","0"
