"epoch","training loss","validation loss"
"1","0.0742948","0"
"2","0.0741958","0"
"3","0.0741643","0"
"4","0.074164","0"
"5","0.0741404","0"
"6","0.074164","0"
"7","0.0741546","0"
"8","0.0741509","0"
"9","0.0741788","0"
"10","0.0741824","0"
"11","0.0742019","0"
"12","0.0741984","0"
"13","0.0741907","0"
"14","0.0741926","0"
"15","0.0741964","0"
"16","0.0741655","0"
"17","0.074182","0"
"18","0.0741922","0"
"19","0.0741857","0"
"20","0.0741803","0"
"21","0.0741927","0"
"22","0.0741665","0"
"23","0.0741652","0"
"24","0.0741835","0"
"25","0.0741957","0"
"26","0.0741661","0"
"27","0.0741822","0"
"28","0.0741633","0"
"29","0.0741717","0"
"30","0.0741632","0"
"31","0.0741935","0"
"32","0.0741839","0"
"33","0.0741924","0"
"34","0.0741608","0"
"35","0.0741642","0"
"36","0.0741802","0"
"37","0.074178","0"
"38","0.0741729","0"
"39","0.0741905","0"
"40","0.074183","0"
"41","0.074176","0"
"42","0.0741743","0"
"43","0.074169","0"
"44","0.0741829","0"
"45","0.0741582","0"
"46","0.0741719","0"
"47","0.0741617","0"
"48","0.0741608","0"
"49","0.0741508","0"
"50","0.0741696","0"
"51","0.0741697","0"
"52","0.0741624","0"
"53","0.0741512","0"
"54","0.0741476","0"
"55","0.0741608","0"
"56","0.0741452","0"
"57","0.0741588","0"
"58","0.0741556","0"
"59","0.0741754","0"
"60","0.0741643","0"
"61","0.074156","0"
"62","0.0741708","0"
"63","0.0741504","0"
"64","0.0741464","0"
"65","0.0741534","0"
"66","0.0741353","0"
"67","0.0741674","0"
"68","0.074151","0"
"69","0.0741552","0"
"70","0.0741526","0"
"71","0.0741397","0"
"72","0.0741415","0"
"73","0.0741566","0"
"74","0.0741511","0"
"75","0.074154","0"
"76","0.0741588","0"
"77","0.0741538","0"
"78","0.0741646","0"
"79","0.0741518","0"
"80","0.0741533","0"
"81","0.074146","0"
"82","0.07416","0"
"83","0.0741359","0"
"84","0.0741437","0"
"85","0.0741387","0"
"86","0.0741383","0"
"87","0.0741492","0"
"88","0.0741597","0"
"89","0.07416","0"
"90","0.0741388","0"
"91","0.0741349","0"
"92","0.0741456","0"
"93","0.0741442","0"
"94","0.0741642","0"
"95","0.0741315","0"
"96","0.0741491","0"
"97","0.0741284","0"
"98","0.0741378","0"
"99","0.0741465","0"
"100","0.0741517","0"
"101","0.0741398","0"
"102","0.0741451","0"
"103","0.0741283","0"
"104","0.0741446","0"
"105","0.0741411","0"
"106","0.0741466","0"
"107","0.0741369","0"
"108","0.0741454","0"
"109","0.0741422","0"
"110","0.074141","0"
"111","0.0741305","0"
"112","0.074158","0"
"113","0.0741409","0"
"114","0.0741453","0"
"115","0.0741257","0"
"116","0.0741316","0"
"117","0.0741534","0"
"118","0.0741409","0"
"119","0.0741448","0"
