"epoch","training loss","validation loss"
"1","0.0562561","0"
"2","0.0469982","0"
"3","0.0422734","0"
"4","0.0392849","0"
"5","0.0372836","0"
"6","0.0360981","0"
"7","0.035396","0"
"8","0.0349245","0"
"9","0.0345084","0"
"10","0.0341428","0"
"11","0.0337711","0"
"12","0.0334391","0"
"13","0.0331921","0"
"14","0.0329984","0"
"15","0.0328359","0"
"16","0.0327034","0"
"17","0.0326271","0"
"18","0.0325504","0"
"19","0.0324786","0"
"20","0.0323949","0"
"21","0.0323623","0"
"22","0.0323133","0"
"23","0.0322638","0"
"24","0.0322158","0"
"25","0.0321866","0"
"26","0.0321616","0"
"27","0.0321302","0"
"28","0.0320897","0"
"29","0.0320602","0"
"30","0.0320411","0"
"31","0.0320163","0"
"32","0.0319967","0"
"33","0.0319618","0"
"34","0.0319449","0"
"35","0.0319383","0"
"36","0.0319062","0"
"37","0.0318863","0"
"38","0.03187","0"
"39","0.0318581","0"
"40","0.0318415","0"
"41","0.0318329","0"
"42","0.0318256","0"
"43","0.0318189","0"
"44","0.0318146","0"
"45","0.0317939","0"
"46","0.0317887","0"
"47","0.0317879","0"
"48","0.031773","0"
"49","0.0317645","0"
"50","0.0317555","0"
"51","0.0317551","0"
"52","0.0317419","0"
"53","0.0317291","0"
"54","0.0317165","0"
"55","0.0316987","0"
"56","0.0316845","0"
"57","0.0316781","0"
"58","0.0316761","0"
"59","0.0316541","0"
"60","0.0316406","0"
"61","0.0316421","0"
"62","0.0316217","0"
"63","0.0316257","0"
"64","0.031607","0"
"65","0.0316046","0"
"66","0.0315868","0"
"67","0.0315689","0"
"68","0.0315702","0"
"69","0.0315651","0"
"70","0.0315521","0"
"71","0.0315487","0"
"72","0.0315442","0"
"73","0.031537","0"
"74","0.0315344","0"
"75","0.0315184","0"
"76","0.0314988","0"
"77","0.0315041","0"
"78","0.0314972","0"
"79","0.0315042","0"
"80","0.0314889","0"
"81","0.0314667","0"
"82","0.0314567","0"
"83","0.0314533","0"
"84","0.0314527","0"
"85","0.0314314","0"
"86","0.0314315","0"
"87","0.0314244","0"
"88","0.031419","0"
"89","0.0314282","0"
"90","0.0314208","0"
"91","0.0314152","0"
"92","0.0314079","0"
"93","0.0313915","0"
"94","0.0313952","0"
