"epoch","training loss","validation loss"
"1","0.0555056","0"
"2","0.0468823","0"
"3","0.0426977","0"
"4","0.0399803","0"
"5","0.0375064","0"
"6","0.0365699","0"
"7","0.0359249","0"
"8","0.0353103","0"
"9","0.0348588","0"
"10","0.0345213","0"
"11","0.0342908","0"
"12","0.0341058","0"
"13","0.0339768","0"
"14","0.0338573","0"
"15","0.0337652","0"
"16","0.0336714","0"
"17","0.0335915","0"
"18","0.0334845","0"
"19","0.0333797","0"
"20","0.0332543","0"
"21","0.0331845","0"
"22","0.0331098","0"
"23","0.0330444","0"
"24","0.032981","0"
"25","0.0329486","0"
"26","0.0329099","0"
"27","0.0328691","0"
"28","0.0328187","0"
"29","0.032787","0"
"30","0.0327648","0"
"31","0.0327374","0"
"32","0.0327259","0"
"33","0.0326928","0"
"34","0.032662","0"
"35","0.0325977","0"
"36","0.032533","0"
"37","0.0324807","0"
"38","0.0324348","0"
"39","0.0323963","0"
"40","0.0323554","0"
"41","0.0323261","0"
"42","0.0322899","0"
"43","0.032254","0"
"44","0.0322257","0"
"45","0.0321823","0"
"46","0.0321569","0"
"47","0.0321352","0"
"48","0.0321069","0"
"49","0.0320893","0"
"50","0.0320692","0"
"51","0.0320644","0"
"52","0.0320369","0"
"53","0.0320165","0"
"54","0.0320038","0"
"55","0.0319818","0"
"56","0.0319623","0"
"57","0.0319557","0"
"58","0.0319481","0"
"59","0.031917","0"
"60","0.0319018","0"
"61","0.0318986","0"
"62","0.0318724","0"
"63","0.0318678","0"
"64","0.031841","0"
"65","0.0318323","0"
"66","0.0318113","0"
"67","0.0317855","0"
"68","0.0317824","0"
"69","0.0317735","0"
"70","0.0317532","0"
"71","0.0317454","0"
"72","0.0317308","0"
"73","0.0317249","0"
"74","0.0317142","0"
"75","0.0316966","0"
"76","0.0316671","0"
"77","0.031673","0"
"78","0.0316643","0"
"79","0.0316731","0"
"80","0.0316557","0"
"81","0.0316396","0"
"82","0.0316295","0"
"83","0.0316241","0"
"84","0.0316225","0"
"85","0.0316033","0"
"86","0.0316007","0"
"87","0.0315906","0"
"88","0.0315847","0"
"89","0.031592","0"
"90","0.0315789","0"
"91","0.0315714","0"
"92","0.0315612","0"
"93","0.0315483","0"
"94","0.0315482","0"
"95","0.0315422","0"
"96","0.0315374","0"
"97","0.0315429","0"
"98","0.0315237","0"
"99","0.0315269","0"
"100","0.0315205","0"
"101","0.0315114","0"
"102","0.0315045","0"
"103","0.0315058","0"
"104","0.0315097","0"
"105","0.0314826","0"
"106","0.03148","0"
"107","0.0314808","0"
"108","0.0314803","0"
"109","0.0314595","0"
"110","0.0314533","0"
"111","0.0314601","0"
"112","0.0314617","0"
"113","0.0314519","0"
"114","0.0314347","0"
"115","0.0314351","0"
"116","0.0314327","0"
"117","0.0314355","0"
"118","0.0314251","0"
"119","0.0314287","0"
"120","0.0314301","0"
"121","0.0314377","0"
"122","0.0314152","0"
"123","0.0314137","0"
"124","0.0314222","0"
"125","0.0314117","0"
"126","0.0314159","0"
"127","0.0314027","0"
"128","0.0314119","0"
"129","0.0314119","0"
"130","0.0314016","0"
"131","0.0313947","0"
"132","0.0313915","0"
"133","0.031401","0"
"134","0.0313853","0"
"135","0.0313804","0"
"136","0.0313858","0"
"137","0.0313819","0"
"138","0.0313815","0"
"139","0.0313766","0"
"140","0.0313699","0"
"141","0.0313691","0"
"142","0.031369","0"
"143","0.0313691","0"
"144","0.0313729","0"
"145","0.0313524","0"
"146","0.0313555","0"
"147","0.0313606","0"
"148","0.0313535","0"
"149","0.0313533","0"
"150","0.0313488","0"
"151","0.0313475","0"
"152","0.0313358","0"
"153","0.0313359","0"
"154","0.0313362","0"
"155","0.031339","0"
"156","0.0313385","0"
"157","0.0313372","0"
"158","0.0313344","0"
"159","0.0313329","0"
"160","0.031336","0"
"161","0.0313223","0"
"162","0.0313173","0"
"163","0.0313287","0"
"164","0.0313288","0"
"165","0.0313448","0"
"166","0.0313209","0"
"167","0.0313202","0"
"168","0.0313111","0"
"169","0.0313205","0"
"170","0.0313179","0"
"171","0.031303","0"
"172","0.031314","0"
"173","0.0313058","0"
"174","0.0313045","0"
"175","0.0313219","0"
"176","0.0313057","0"
"177","0.0313075","0"
"178","0.0313018","0"
"179","0.0312946","0"
"180","0.0312892","0"
"181","0.031303","0"
"182","0.0313012","0"
"183","0.0312945","0"
"184","0.0312886","0"
"185","0.0312964","0"
"186","0.0312869","0"
"187","0.0312843","0"
"188","0.0312857","0"
"189","0.0312937","0"
"190","0.0312951","0"
"191","0.0312755","0"
"192","0.031285","0"
"193","0.0312845","0"
"194","0.0312878","0"
"195","0.0312693","0"
"196","0.0312766","0"
"197","0.0312853","0"
"198","0.0312864","0"
"199","0.0312709","0"
"200","0.0312668","0"
"201","0.0312736","0"
"202","0.0312672","0"
"203","0.0312796","0"
"204","0.0312622","0"
"205","0.0312677","0"
"206","0.0312847","0"
"207","0.0312774","0"
"208","0.0312671","0"
"209","0.0312681","0"
"210","0.0312702","0"
"211","0.0312669","0"
"212","0.0312723","0"
"213","0.031263","0"
"214","0.0312794","0"
"215","0.0312729","0"
"216","0.0312698","0"
"217","0.0312569","0"
"218","0.0312641","0"
"219","0.031273","0"
"220","0.0312579","0"
"221","0.0312575","0"
"222","0.0312677","0"
"223","0.0312637","0"
"224","0.0312633","0"
"225","0.0312592","0"
"226","0.0312628","0"
"227","0.0312582","0"
"228","0.0312606","0"
"229","0.0312724","0"
"230","0.0312644","0"
"231","0.0312513","0"
"232","0.0312602","0"
"233","0.0312589","0"
"234","0.0312528","0"
"235","0.0312573","0"
"236","0.0312652","0"
"237","0.0312498","0"
"238","0.0312406","0"
"239","0.0312526","0"
"240","0.0312446","0"
"241","0.0312579","0"
"242","0.0312511","0"
"243","0.0312478","0"
"244","0.0312523","0"
"245","0.0312556","0"
"246","0.0312527","0"
"247","0.0312381","0"
"248","0.0312442","0"
"249","0.0312454","0"
"250","0.0312557","0"
"251","0.0312638","0"
"252","0.0312495","0"
"253","0.0312398","0"
"254","0.031235","0"
"255","0.0312442","0"
"256","0.0312425","0"
"257","0.0312293","0"
"258","0.0312418","0"
"259","0.031233","0"
"260","0.0312397","0"
"261","0.0312501","0"
"262","0.0312299","0"
"263","0.031235","0"
"264","0.0312283","0"
"265","0.0312221","0"
"266","0.0312302","0"
"267","0.0312313","0"
"268","0.0312371","0"
"269","0.0312231","0"
"270","0.0312278","0"
"271","0.0312248","0"
"272","0.0312263","0"
"273","0.0312109","0"
"274","0.0312304","0"
"275","0.0312277","0"
"276","0.0312238","0"
"277","0.0312062","0"
"278","0.0312237","0"
"279","0.0312234","0"
"280","0.0312133","0"
"281","0.0312018","0"
"282","0.0312164","0"
"283","0.0312278","0"
"284","0.0312155","0"
"285","0.0312036","0"
"286","0.0312025","0"
"287","0.0312064","0"
"288","0.0312049","0"
"289","0.031215","0"
"290","0.0311996","0"
"291","0.0312029","0"
"292","0.0312242","0"
"293","0.0312045","0"
"294","0.0312023","0"
"295","0.0312019","0"
"296","0.0312102","0"
"297","0.0312006","0"
"298","0.0312009","0"
"299","0.0312033","0"
"300","0.0312077","0"
"301","0.0312152","0"
"302","0.0311976","0"
"303","0.0311941","0"
"304","0.0312031","0"
"305","0.0311958","0"
"306","0.0311963","0"
"307","0.0311975","0"
"308","0.0312039","0"
"309","0.0311991","0"
"310","0.031197","0"
"311","0.0311977","0"
"312","0.0311942","0"
"313","0.0311929","0"
"314","0.0312003","0"
"315","0.0312099","0"
"316","0.0311911","0"
"317","0.031192","0"
"318","0.0311987","0"
"319","0.0311883","0"
"320","0.0312053","0"
"321","0.0311906","0"
"322","0.0311953","0"
"323","0.031191","0"
"324","0.0311785","0"
"325","0.0311885","0"
"326","0.031189","0"
"327","0.0311902","0"
"328","0.0311921","0"
"329","0.0311882","0"
"330","0.0311926","0"
"331","0.031192","0"
"332","0.0311895","0"
"333","0.0311708","0"
"334","0.0311882","0"
"335","0.0311855","0"
"336","0.031201","0"
"337","0.031194","0"
"338","0.0311841","0"
"339","0.031178","0"
"340","0.0311796","0"
"341","0.0311873","0"
"342","0.0311722","0"
"343","0.0311771","0"
"344","0.0311726","0"
"345","0.031177","0"
"346","0.0311877","0"
"347","0.0311779","0"
"348","0.0311779","0"
"349","0.0311747","0"
"350","0.0311662","0"
"351","0.0311683","0"
"352","0.0311725","0"
"353","0.0311731","0"
"354","0.0311775","0"
"355","0.0311672","0"
"356","0.0311713","0"
"357","0.0311735","0"
"358","0.031164","0"
"359","0.0311601","0"
"360","0.0311706","0"
"361","0.0311785","0"
"362","0.0311606","0"
"363","0.0311572","0"
"364","0.0311706","0"
"365","0.0311728","0"
"366","0.0311592","0"
"367","0.0311566","0"
"368","0.0311668","0"
"369","0.0311706","0"
"370","0.0311669","0"
"371","0.0311483","0"
"372","0.0311611","0"
"373","0.0311515","0"
"374","0.0311646","0"
"375","0.0311523","0"
"376","0.0311638","0"
"377","0.031165","0"
"378","0.0311712","0"
"379","0.0311536","0"
"380","0.0311572","0"
"381","0.0311635","0"
"382","0.0311559","0"
"383","0.0311635","0"
"384","0.0311546","0"
"385","0.0311663","0"
"386","0.0311709","0"
"387","0.0311594","0"
"388","0.0311549","0"
"389","0.0311516","0"
"390","0.0311676","0"
"391","0.0311496","0"
"392","0.0311496","0"
"393","0.0311589","0"
"394","0.0311593","0"
"395","0.03116","0"
"396","0.0311564","0"
"397","0.0311524","0"
"398","0.0311544","0"
"399","0.0311556","0"
"400","0.0311633","0"
"401","0.031065","0"
"402","0.0310361","0"
"403","0.0310354","0"
"404","0.0310376","0"
"405","0.0310324","0"
"406","0.0310366","0"
"407","0.0310268","0"
"408","0.031028","0"
"409","0.0310154","0"
"410","0.0310194","0"
"411","0.0310208","0"
"412","0.0310265","0"
"413","0.0310236","0"
"414","0.0310244","0"
"415","0.0310253","0"
"416","0.0310201","0"
"417","0.0310258","0"
"418","0.0310109","0"
"419","0.0310139","0"
"420","0.0310243","0"
"421","0.0310221","0"
"422","0.0310398","0"
"423","0.031023","0"
"424","0.0310181","0"
"425","0.0310096","0"
"426","0.0310194","0"
"427","0.0310197","0"
"428","0.0310066","0"
"429","0.031018","0"
"430","0.0310094","0"
"431","0.0310112","0"
"432","0.0310298","0"
"433","0.0310089","0"
"434","0.0310169","0"
"435","0.0310132","0"
"436","0.0310076","0"
"437","0.0310043","0"
"438","0.0310174","0"
"439","0.0310189","0"
"440","0.0310104","0"
"441","0.0310086","0"
"442","0.0310147","0"
"443","0.0310098","0"
"444","0.0310024","0"
"445","0.0310091","0"
"446","0.031016","0"
"447","0.0310167","0"
"448","0.0310004","0"
"449","0.0310071","0"
"450","0.0310143","0"
"451","0.0310136","0"
"452","0.0309997","0"
"453","0.0310091","0"
"454","0.0310145","0"
"455","0.0310196","0"
"456","0.0310034","0"
"457","0.0310016","0"
"458","0.0310082","0"
"459","0.0310013","0"
"460","0.0310136","0"
"461","0.0310007","0"
"462","0.0310068","0"
"463","0.0310215","0"
"464","0.0310127","0"
"465","0.0310081","0"
"466","0.0310067","0"
"467","0.0310103","0"
"468","0.0310066","0"
"469","0.0310122","0"
"470","0.0310083","0"
"471","0.0310204","0"
