"epoch","training loss","validation loss"
"1","0.0753414","0"
"2","0.0752462","0"
"3","0.0752163","0"
"4","0.0752091","0"
"5","0.0751762","0"
"6","0.0751852","0"
"7","0.0751689","0"
"8","0.0751557","0"
"9","0.0751786","0"
"10","0.0751755","0"
"11","0.0751851","0"
"12","0.0751859","0"
"13","0.0751803","0"
"14","0.075178","0"
"15","0.0751927","0"
"16","0.0751546","0"
"17","0.0751668","0"
"18","0.0751819","0"
"19","0.0751741","0"
"20","0.0751729","0"
"21","0.075177","0"
"22","0.0751567","0"
"23","0.0751576","0"
"24","0.0751713","0"
"25","0.0751836","0"
"26","0.0751573","0"
"27","0.0751717","0"
"28","0.0751541","0"
"29","0.075164","0"
"30","0.0751522","0"
"31","0.0751811","0"
"32","0.0751773","0"
"33","0.0751839","0"
"34","0.0751571","0"
"35","0.0751559","0"
"36","0.0751743","0"
"37","0.0751735","0"
"38","0.0751694","0"
"39","0.0751808","0"
"40","0.0751803","0"
"41","0.0751666","0"
"42","0.0751666","0"
"43","0.0751702","0"
"44","0.0751793","0"
"45","0.0751524","0"
"46","0.0751708","0"
"47","0.0751549","0"
"48","0.0751551","0"
"49","0.0751457","0"
"50","0.0751626","0"
"51","0.075167","0"
"52","0.0751586","0"
"53","0.0751449","0"
"54","0.0751441","0"
"55","0.0751569","0"
"56","0.0751425","0"
"57","0.0751562","0"
"58","0.0751428","0"
"59","0.0751674","0"
"60","0.0751573","0"
"61","0.0751524","0"
"62","0.0751689","0"
"63","0.0751452","0"
"64","0.0751451","0"
"65","0.0751551","0"
"66","0.0751299","0"
"67","0.0751652","0"
"68","0.0751526","0"
"69","0.0751545","0"
"70","0.0751583","0"
"71","0.0751356","0"
"72","0.075146","0"
"73","0.0751563","0"
"74","0.0751498","0"
"75","0.0751455","0"
"76","0.0751588","0"
"77","0.0751532","0"
"78","0.0751611","0"
"79","0.0751524","0"
"80","0.0751504","0"
"81","0.0751487","0"
"82","0.075162","0"
"83","0.0751353","0"
"84","0.0751453","0"
"85","0.0751444","0"
"86","0.0751421","0"
"87","0.0751527","0"
"88","0.075164","0"
