"epoch","training loss","validation loss"
"1","0.07473","0"
"2","0.0746247","0"
"3","0.0745875","0"
"4","0.0745756","0"
"5","0.0745467","0"
"6","0.0745547","0"
"7","0.0745362","0"
"8","0.0745245","0"
"9","0.0745483","0"
"10","0.0745464","0"
"11","0.0745583","0"
"12","0.0745603","0"
"13","0.0745514","0"
"14","0.0745478","0"
"15","0.0745559","0"
"16","0.0745253","0"
"17","0.0745393","0"
"18","0.0745546","0"
"19","0.0745456","0"
"20","0.0745392","0"
"21","0.0745487","0"
"22","0.0745276","0"
"23","0.0745269","0"
"24","0.0745467","0"
"25","0.0745511","0"
"26","0.0745295","0"
"27","0.0745399","0"
"28","0.0745206","0"
"29","0.0745299","0"
"30","0.0745231","0"
"31","0.0745525","0"
"32","0.0745484","0"
"33","0.0745519","0"
"34","0.0745262","0"
"35","0.0745247","0"
"36","0.0745421","0"
"37","0.0745447","0"
"38","0.0745365","0"
"39","0.0745558","0"
"40","0.0745505","0"
"41","0.0745333","0"
"42","0.0745333","0"
"43","0.0745325","0"
"44","0.0745458","0"
"45","0.0745218","0"
"46","0.0745337","0"
"47","0.0745283","0"
"48","0.0745284","0"
"49","0.0745091","0"
"50","0.0745336","0"
"51","0.0745295","0"
"52","0.0745275","0"
"53","0.0745196","0"
"54","0.0745127","0"
"55","0.0745321","0"
"56","0.0745137","0"
"57","0.0745265","0"
"58","0.0745157","0"
"59","0.0745382","0"
"60","0.0745325","0"
"61","0.0745239","0"
"62","0.0745351","0"
"63","0.0745172","0"
"64","0.0745165","0"
"65","0.0745241","0"
"66","0.0745005","0"
"67","0.0745337","0"
"68","0.074521","0"
"69","0.0745259","0"
"70","0.07452","0"
"71","0.0745085","0"
"72","0.0745182","0"
"73","0.074531","0"
"74","0.0745154","0"
"75","0.0745174","0"
"76","0.0745228","0"
"77","0.0745233","0"
"78","0.074533","0"
"79","0.0745194","0"
"80","0.0745213","0"
"81","0.0745165","0"
"82","0.0745276","0"
"83","0.0745033","0"
"84","0.0745151","0"
"85","0.0745086","0"
"86","0.0745118","0"
"87","0.0745231","0"
"88","0.0745279","0"
"89","0.0745252","0"
"90","0.0745095","0"
"91","0.07451","0"
"92","0.0745171","0"
"93","0.0745171","0"
"94","0.0745372","0"
"95","0.0745015","0"
"96","0.0745214","0"
"97","0.0744951","0"
"98","0.0745156","0"
"99","0.0745199","0"
"100","0.0745222","0"
"101","0.0745181","0"
"102","0.0745151","0"
"103","0.0745014","0"
"104","0.0745169","0"
"105","0.0745186","0"
"106","0.074519","0"
"107","0.0745064","0"
"108","0.0745222","0"
"109","0.074518","0"
"110","0.074511","0"
"111","0.0745054","0"
"112","0.0745248","0"
"113","0.0745244","0"
"114","0.074522","0"
"115","0.0744992","0"
"116","0.0745049","0"
"117","0.0745205","0"
"118","0.0745152","0"
"119","0.0745229","0"
"120","0.074523","0"
"121","0.0744825","0"
"122","0.0745214","0"
"123","0.0745078","0"
"124","0.0745205","0"
"125","0.0745312","0"
"126","0.0745056","0"
"127","0.0745393","0"
"128","0.0745053","0"
"129","0.0745349","0"
"130","0.0744964","0"
"131","0.0744872","0"
"132","0.0745037","0"
"133","0.0745105","0"
"134","0.0744994","0"
"135","0.074518","0"
"136","0.0745221","0"
"137","0.0745036","0"
"138","0.0745126","0"
"139","0.0745009","0"
"140","0.0744965","0"
"141","0.0745061","0"
